x,y,temp
10,45,15.92
10,44,17.38
10,35,18.85
10,62,19.82
10,66,20.31
10,66,20.80
9,75,20.80
9,88,20.80
9,89,20.31
8,98,19.82
8,107,19.34
8,116,17.87
7,125,16.89
7,134,15.43
7,144,13.96
113,148,14.94
116,150,16.41
117,151,17.38
119,152,18.36
122,153,18.85
119,153,19.82
115,161,20.31
94,154,20.31
103,155,19.82
112,155,19.34
121,155,18.85
130,154,17.87
139,154,16.89
148,154,15.43
156,153,14.45
161,99,15.43
161,138,16.89
161,135,18.36
160,126,19.82
160,116,21.29
159,108,22.27
159,99,22.75
159,90,23.24
158,81,23.24
158,72,23.24
156,63,22.75
155,54,22.27
154,45,21.29
153,36,20.31
153,28,18.85
153,19,17.38
136,15,18.36
127,15,19.82
118,15,20.80
109,16,21.78
100,16,22.27
91,17,22.75
82,17,23.24
73,18,23.24
65,18,22.75
55,19,21.78
47,19,20.80
38,18,19.34
33,18,20.80
33,27,22.27
32,37,23.73
32,45,24.71
32,54,25.68
32,64,26.66
32,73,27.15
32,81,26.66
32,91,26.17
32,100,25.68
32,109,24.71
33,118,23.24
33,127,21.78
50,132,22.75
59,132,24.22
68,132,25.20
77,132,25.68
86,132,26.17
95,132,26.17
104,132,25.68
113,132,25.20
122,132,24.22
131,132,22.75
140,133,21.29
142,132,22.75
142,122,24.71
141,114,25.68
141,105,26.66
141,96,27.15
141,87,27.64
141,79,27.64
141,69,27.15
140,60,26.17
140,51,25.20
140,42,24.22
139,33,22.27
122,30,23.73
112,31,24.71
104,31,25.68
95,31,26.66
86,32,27.15
77,33,27.15
68,33,26.66
59,33,25.68
50,33,24.71
46,33,26.17
46,43,27.64
47,53,29.10
48,61,30.08
49,71,30.57
49,79,30.57
49,89,30.08
48,97,29.59
49,106,28.61
50,115,27.15
65,119,27.64
75,119,28.61
83,120,29.10
93,119,29.10
101,119,29.10
111,118,28.61
120,118,27.64
128,118,26.17
132,117,27.15
132,108,28.12
133,100,29.10
133,90,29.59
133,81,29.59
133,71,29.10
133,55,27.64
132,46,26.17
117,44,27.64
107,44,28.61
98,44,29.10
89,44,29.59
81,43,29.59
71,43,29.10
62,43,28.12
59,44,30.08
59,53,31.05
60,62,32.03
61,71,32.52
61,80,32.52
62,90,32.52
62,98,31.54
79,103,32.03
87,103,32.03
97,104,32.03
106,103,31.54
115,103,31.05
119,102,31.54
119,93,32.03
119,82,32.03
119,74,32.03
119,65,31.05
103,60,31.54
94,59,32.52
85,60,32.52
76,59,32.52
73,62,33.50
73,70,33.98
73,79,33.98
73,88,33.50
88,101,32.52
98,101,32.52
102,101,33.50
102,91,33.98
103,82,33.98
103,73,33.50
88,71,33.98
83,71,34.47
